Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B3,D4,1,.,Exposure,80.139994,7/25/2019,9:13
ICP,SAB,B4,D4,1,.,Exposure,92.01856867,7/25/2019,9:18
ICP,SAB,B5,D4,1,.,Exposure,84.0266464,7/25/2019,9:23
ICP,SAB,B1,D5,1,H0,Exposure,51.79403173,7/26/2019,3:38
ICP,SAB,B2,D5,1,H0,Exposure,75.49841133,7/26/2019,3:34
ICP,SAB,B3,D5,1,H0,Exposure,72.693,7/26/2019,3:49
ICP,SAB,B4,D5,1,H0,Exposure,76.97165613,7/26/2019,3:53
ICP,SAB,B5,D5,1,H0,Exposure,72.67253827,7/26/2019,3:57
ICP,SAB,B1,D5,1,H1,Exposure,69.13050453,7/26/2019,6:15
ICP,SAB,B2,D5,1,H1,Exposure,74.14470613,7/26/2019,6:19
ICP,SAB,B3,D5,1,H1,Exposure,64.49753733,7/26/2019,6:23
ICP,SAB,B4,D5,1,H1,Exposure,91.46287107,7/26/2019,6:26
ICP,SAB,B5,D5,1,H1,Exposure,72.24607267,7/26/2019,6:28
ICP,SAB,B1,D5,1,H3,Exposure,99.4084852,7/26/2019,8:21
ICP,SAB,B2,D5,1,H3,Exposure,90.43224587,7/26/2019,8:24
ICP,SAB,B3,D5,1,H3,Exposure,95.64352627,7/26/2019,8:27
ICP,SAB,B4,D5,1,H3,Exposure,108.1989889,7/26/2019,8:30
ICP,SAB,B5,D5,1,H3,Exposure,68.11603333,7/26/2019,8:32
ICP,SAB,B1,D5,1,H4,Exposure,92.3536,7/26/2019,9:18
ICP,SAB,B2,D5,1,H4,Exposure,90.55501627,7/26/2019,9:22
ICP,SAB,B3,D5,1,H4,Exposure,87.84380922,7/26/2019,9:25
ICP,SAB,B4,D5,1,H4,Exposure,89.63355004,7/26/2019,9:29
ICP,SAB,B5,D5,1,H4,Exposure,125.8544513,7/26/2019,9:31
ICP,SAB,B1,D5,1,H5,Exposure,100.2384754,7/26/2019,10:20
ICP,SAB,B2,D5,1,H5,Exposure,86.53877289,7/26/2019,10:23
ICP,SAB,B3,D5,1,H5,Exposure,86.93546269,7/26/2019,10:26
ICP,SAB,B4,D5,1,H5,Exposure,108.7358712,7/26/2019,10:30
ICP,ROB,B1,D5,1,H0,Exposure,11.9442676,7/26/2019,10:32
ICP,SAB,B5,D5,1,H5,Exposure,119.7315405,7/26/2019,10:33
ICP,ROB,B2,D5,1,H0,Exposure,6.4519076,7/26/2019,10:39
ICP,ROB,B3,D5,1,H0,Exposure,7.290838667,7/26/2019,10:45
ICP,ROB,B4,D5,1,H0,Exposure,6.499292667,7/26/2019,10:49
ICP,ROB,B5,D5,1,H0,Exposure,5.555899067,7/26/2019,10:55
ICP,SAB,B1,D5,1,H6,Exposure,91.79372072,7/26/2019,11:22
ICP,SAB,B2,D5,1,H6,Exposure,101.6498655,7/26/2019,11:26
ICP,SAB,B3,D5,1,H6,Exposure,88.75984696,7/26/2019,11:30
ICP,SAB,B4,D5,1,H6,Exposure,108.0252366,7/26/2019,11:33
ICP,SAB,B5,D5,1,H6,Exposure,72.13202903,7/26/2019,11:36
ICP,SAB,B1,D5,1,H7,Exposure,102.4122671,7/26/2019,12:17
ICP,SAB,B2,D5,1,H7,Exposure,108.6694886,7/26/2019,12:22
ICP,SAB,B3,D5,1,H7,Exposure,96.33874647,7/26/2019,12:27
ICP,SAB,B4,D5,1,H7,Exposure,107.0301781,7/26/2019,12:32
ICP,SAB,B5,D5,1,H7,Exposure,123.1013281,7/26/2019,12:37
ICP,SAB,B1,D5,1,H8,Exposure,92.3288778,7/26/2019,13:16
ICP,SAB,B2,D5,1,H8,Exposure,98.41259836,7/26/2019,13:19
ICP,SAB,B3,D5,1,H8,Exposure,90.83003333,7/26/2019,13:23
ICP,SAB,B4,D5,1,H8,Exposure,101.2880526,7/26/2019,13:26
ICP,SAB,B5,D5,1,H8,Exposure,87.84073158,7/26/2019,13:30
ICP,SAB,B1,D5,1,H9,Exposure,87.60541157,7/26/2019,14:17
ICP,SAB,B2,D5,1,H9,Exposure,103.0791556,7/26/2019,14:20
ICP,SAB,B3,D5,1,H9,Exposure,116.0366081,7/26/2019,14:24
ICP,SAB,B4,D5,1,H9,Exposure,95.45657557,7/26/2019,14:27
ICP,SAB,B5,D5,1,H9,Exposure,108.3164969,7/26/2019,14:31
ICP,SAB,B1,D5,1,H10,Exposure,84.15283765,7/26/2019,15:19
ICP,SAB,B2,D5,1,H10,Exposure,88.01403391,7/26/2019,15:23
ICP,SAB,B3,D5,1,H10,Exposure,90.44351647,7/26/2019,15:28
ICP,SAB,B4,D5,1,H10,Exposure,93.26735381,7/26/2019,15:31
ICP,SAB,B5,D5,1,H10,Exposure,105.468126,7/26/2019,15:35
ICP,SAB,B1,D5,1,H11,Exposure,81.270774,7/26/2019,16:40
